0;1;0;-450;-776;-112;-776;-112;-218;-112;-776
0;2;0;-380;-626;-126;-626;-126;-386;-126;-626
0;3;0;-276;-586;-124;-586;-124;-440;-124;-586
0;4;0;-222;-582;-128;-582;-128;-468;-128;-582
0;5;0;-222;-598;-128;-598;-128;-484;-128;-598
0;6;0;-222;-620;-128;-620;-128;-506;-128;-620
0;7;0;-198;-567;-128;-567;-128;-511;-128;-567
0;8;0;-170;-567;-130;-567;-130;-511;-130;-567
0;9;0;-168;-567;-126;-567;-126;-511;-126;-567
0;10;0;-168;-567;-126;-567;-126;-511;-126;-567
1;1;0;430;-528;632;-528;632;-190;632;-528
1;2;0;86;-612;340;-612;340;-372;340;-612
1;3;0;103;-586;197;-586;197;-440;197;-586
1;4;0;25;-582;119;-582;119;-468;119;-582
1;5;0;-22;-598;72;-598;72;-484;72;-598
1;6;0;-53;-571;41;-571;41;-503;41;-571
1;7;0;-30;-572;12;-572;12;-516;12;-572
1;8;0;-64;-572;-24;-572;-24;-516;-24;-572
1;9;0;-68;-567;-26;-567;-26;-511;-26;-567
1;10;0;-68;-567;-26;-567;-26;-511;-26;-567
2;1;0;768;-400;920;-400;920;-162;920;-400
2;2;0;482;-470;636;-470;636;-326;636;-470
2;3;0;359;-514;453;-514;453;-404;453;-514
2;4;0;231;-562;325;-562;325;-450;325;-562
2;5;0;166;-594;260;-594;260;-480;260;-594
2;6;0;138;-602;194;-602;194;-490;194;-602
2;7;0;78;-572;148;-572;148;-516;148;-572
2;8;0;68;-567;108;-567;108;-511;108;-567
2;9;0;32;-567;74;-567;74;-511;74;-567
2;10;0;32;-567;74;-567;74;-511;74;-567
3;2;0;731;-394;825;-394;825;-282;825;-394
3;3;0;547;-488;641;-488;641;-374;641;-488
3;4;0;416;-530;510;-530;510;-416;510;-530
3;5;0;312;-519;406;-519;406;-451;406;-519
3;6;0;250;-547;344;-547;344;-479;344;-547
3;7;0;228;-598;284;-598;284;-484;284;-598
3;8;0;170;-567;212;-567;212;-511;212;-567
3;9;0;132;-605;174;-605;174;-511;174;-605
3;10;0;132;-567;174;-567;174;-511;174;-567
