0;1;0;-13;-253;338;434
0;2;0;-24;-387;153;145
0;3;0;-24;-441;153;145
0;4;0;-34;-468;94;68
0;5;0;-34;-476;94;113
0;6;0;-28;-488;94;113
0;7;0;-29;-508;69;35
0;8;0;-55;-511;41;56
1;1;0;738;-177;338;434
1;2;0;440;-350;153;239
1;3;0;290;-418;153;145
1;4;0;206;-450;94;113
1;5;0;156;-476;56;113
1;6;0;119;-485;56;113
1;7;0;74;-508;41;94
1;8;0;74;-511;41;56
1.7;1;0;933;-125;128;239
2;2;0;708;-296;153;145
2;3;0;541;-378;94;113
2;4;0;406;-423;94;110
2;5;0;341;-450;94;113
2;6;0;278;-476;94;113
2;7;0;241;-481;69;56
2;8;0;209;-481;41;56
3;2;0;897;-247;94;183
3;3;0;703;-348;94;68
3;4;0;591;-390;94;110
3;5;0;544;-416;94;68
3;6;0;419;-450;94;113
3;7;0;353;-481;94;113
3;8;0;309;-481;41;56
4;3;0;881;-282;94;113
4;4;0;756;-349;56;113
4;5;0;653;-390;94;110
4;6;0;581;-416;94;68
4;7;0;509;-441;41;56
5;3;0;964;-244;66;113
5;4;0;952;-253;91;113
5;6;0;644;-416;94;68
5;7;0;609;-417;41;56
0;0.3;0;-38;124;563;422
0.5;0.5;0;638;-9;563;328
0.25;0.5;0;491;-5;438;422
0;0.5;0;-25;-75;563;544
